cat name,event name,event start,event finish,state,description,location,type,year,original loss value,normalised loss value (2022),claims count,NSW,VIC,QLD,ACT,TAS,SA,NT,WA
CAT212,Extreme Weather Event,2021-03-16,2021-03-24,NSW/QLD,"Following intense rainfall on 18th-22nd March, flooding and storm damage affected Sydney, The Hunter Valley and the Mid North Coastal areas. _x000D_
Major impact in Taree where the Manning River reached a peak of 5.6m and areas around Port Macquarie. The Western Sydney suburbs around Penrith and along the Nepean river were submerged after the river burst its banks. 150mm of rain to the Warragamba Dam catchment caused it to spill adding to the already swollen Nepean River. Downstream suburbs of Richmond, Windso, Pitt Town and into Wisemans Ferry were also affected by flooding._x000D_
On the 24th March, the affected area was extended to include Southeast Queensland",NSW and SEQ,flooding,2021,617532295.0,689800000.0,58865.0,1,0,1,0,0,0,0,0
CAT211,Perth Hills Bushfire,2021-02-01,2021-02-21,WA,The Insurance Council has declared a catastrophe for the Perth Hills Bushfires (CAT211) which remain at emergency warning level. The WA Department of Fire and Emergency Services has confirmed 81 homes have been destroyed,WA,bushfire,2021,98557284.0,106900000.0,1342.0,0,0,0,0,0,0,0,1
CAT204,Halloween Hail,2020-10-31,2020-10-31,QLD,"On 31 October 2020, severe thunderstorms impacted Central and South East Queensland, causing high winds and hail. One particular cell  impacted the Western and South Western outskirts of Brisbane with giant hail as large at 14 cm. Significant damage to homes and motor vehicles was reported, particularly in the Ipswich and Logan Council Areas. The suburb of Springfield Lakes appeared to be the worst affected.",SEQ,hailstorm,2020,1056074599.0,1187300000.0,44703.0,0,0,1,0,0,0,0,0
Undeclared,Rockhampton Hail,2020-04-19,2020-04-19,QLD,"Severe hailstorm impacted Rockhampton and Yeppoon region on 19 April 2020. The event was not declared a catastrophe due to low early loss estimates. However, the event experiences an unusally long claims tail that saw significant claims lodged many months after the initial event. This caused a significant increase in claims costs.",FNQ,hailstorm,2020,502766415.0,570600000.0,14804.0,0,0,1,0,0,0,0,0
CAT202,South East Coast Storms & Flooding,2020-02-04,2020-02-10,"NSW, QLD, VIC","The Insurance Council of Australia declared a Catastrophe (CAT202) for severe storms and flooding that impacted many localities in Queensland and NSW. The commencement date for this CAT was February 4. The SES  received 10,248 requests for assistance since the commencement of this weather event. The localities with the greatest number of requests were Gosford (633), Hornsby (483), Wyong (465) and Ku-ring-gai (457). The majority of these requests relate to leaking roofs, fallen trees and inundated roads. There were 197 flood rescues, with the majority in the Sydney Metro area (116). SES also issued evacuation orders for residents in Narrabeen, Moorebank, Chipping Norton, Pitt Town Bottoms, Gronos Point area and Richmond Lowlands area.In Qld, SES was tasked with over 250 storm and flood related tasks in the last 24hrs. The localities with the greatest number of taskings were Redland City (65+), Gold Coast (50+), Toowoomba (35+) and Brisbane (25+).",SEQ,flooding,2020,973837676.0,1176500000.0,102286.0,1,1,1,0,0,0,0,0
CAT201,January Hailstorms,2020-01-18,2020-01-20,"ACT, NSW, QLD, VIC","A series of destructive hailstorms impacted VIC, ACT, QLD and NSW on 18, 19 and 20 January. Estimated Value @ 23 August 2020, $1,625,120,016 (73% domestic, 27% commercial) Lodged Claims @ 23 August 2020, 129,201 (90% domestic, 10% commercial). _x000D_
Breakdown: _x000D_
38,793 Residential Building Claims, 72.49% closed, average value $15,018 _x000D_
10,462 Contents Claims, 73.52% closed, average value $3,081_x000D_
67,435 Domestic Motor Claims, 84.43% closed, average value $8,455_x000D_
146 Domestic Other, 5,214 Commercial Property Claims, 66.36% closed, average value $69,069_x000D_
6,954 Commercial Motor Claims, 75.57% closed, average value $10,656_x000D_
146 Business Interruption Claims, 52.74% closed, average value $24,277_x000D_
50 Commercial Other (including crop, marine, aviation)",SEQ,hailstorm,2020,1681889372.0,2025300000.0,132205.0,1,1,1,1,0,0,0,0
CAT196,November 17 Hailstorm (SEQ),2019-11-17,2019-11-17,QLD,"A severe hailstorm that impacted communities in SEQ, in particular the Sunshine Coast region. Event declared a catastrophe event on 18/11/19.",SEQ,hailstorm,2019,498300091.0,592100000.0,30923.0,0,0,1,0,0,0,0,0
CAT195,"2019/20 Bushfires (NSW,QLD,SA,VIC)",2019-11-08,2020-02-13,"NSW, QLD, SA, VIC","A series of fires across NSW, QLD, SA and VIC impacted homes and businesses from 8th November (to date). A catastrophe (CAT195) was declared by the insurance industry on 8th November and remains open whilst the fire emergency continues. The area defined by this declaration has grown over the bushfire season as losses have continued to occur. The event now encompasses 183 postcodes across four states, an area that contains many tens of thousands of building and contents policies.",SEQ,bushfire,2019,2319164486.0,2405400000.0,38936.0,1,1,1,0,0,1,0,0
CAT193,NSW/QLD September 2019 Bushfires,2019-09-05,2019-09-11,"NSW, QLD","Upto 70 bushfires across southern QLD and 70 in NSW, fanned by high winds led to multiple property losses over 5,6,7,8,9 September. Fires yet to be controlled. Catastrophe declared by ICA on 7 September:QLD Damage assessment so far:Eight homes at Sarabah,Three homes at Applethorpe and Stanthorpe,One home in Biboohra,Damage assessments underway in Peregian Springs.NSW Damage assessment so far:Drake, 4 homes destroyed, 4 outbuildings destroyed, 4 damaged Tenterfield, 1 home destroyed, 4 damaged, 3 facilities destroyed, 15 outbuildings destroyed, 10 damagedLidsdale 1 home damaged, 3 outbuildings destroyed",SEQ,bushfire,2019,13500000.0,15900000.0,30674.0,1,0,1,0,0,0,0,0
Undeclared,"Severe weather in SA, VIC, NSW, QLD, ACT",2019-08-09,2019-08-12,"ACT, NSW, QLD, SA, VIC","Commencing on 08AUG until 12AUG a severe cold front impacted SA, VIC, NSW, ACT, and SEQ. High winds were reported in each state, resulting in atypical wind and storm damage (roof damage, tree’s down etc). ICA estimates that 3,800 claims were lodged for storm related damage. No catastrophe event was declared.",SEQ,storm,2019,55450000.0,58222500.0,30674.0,1,1,1,1,0,1,0,0
CAT191,FNQ Monsoonal Flood,2019-01-24,2019-02-11,QLD,"Over the last week of January 2019 and the first week of February, torrential rainfalls over far North Queensland caused widespread flooding. The Insurance Council of Australia declared a catastrophe event on February 2 and commenced coordinating industry activity to assist in the recovery. The insurance industry’s declaration covers damage that occurred between 24/1/19 and 10/2/19 in 79 postcodes. Updated value $1.267bn, 30,674 claims. 81% building claims closed, 87% contents claims closed, 97% motor claims closed.",FNQ,flooding,2019,1267963959.0,1563500000.0,30674.0,0,0,1,0,0,0,0,0
CAT181,North Queensland Floods,2018-12-03,2018-12-03,QLD,"Consistent heavy rainfalls across much of Northern and Central Queensland led to significant flooding across multiple regions.  The main focus is Ingham, Cordelia and Innisfail. A relatively low number of properties experienced overfloor flooding. Approximately 525 claims have been lodged throughout the region.",FNQ,flooding,2018,16800000.0,20500000.0,525.0,0,0,1,0,0,0,0,0
Undeclared,Gympie Region Hailstorm,2018-10-11,2018-10-12,QLD,"Reported as tornado driven hail impacting the South Burnett region on October 12th, 2018. This event was initially not declared an insurance catastrophe, however two months after the event claims lodgements have steadily increased in a non-traditional trajectory. Claims volume for this undeclared event (based on scaled market reporting from 80% of the market) is 14,250 claims (55% property, 45% motor) for an approximate value of $63.2 million.",SEQ,hailstorm,2018,63215338.0,77500000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Boxing Day storms,2017-12-26,2017-12-26,QLD,"On 26 December 2017, a severe storm cell impacted QLD's Darling Downs and South Burnett region. Around 100 homes were damaged with roofs ripped off and rural properties damaged. More than 4000 homes lost power for over 12 hours.",SEQ,storm,2017,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Bundaberg Storms,2017-11-07,2017-11-07,QLD,"On 7 November, severe thunderstorms brought wild winds, heavy rain and 2cm hail stones, with the Wide Bay region/Bundaberg being the hardest hit. In excess of 1,100 claims were lodged.",FNQ,storm,2017,10000000.0,12900000.0,0.0,0,0,1,0,0,0,0,0
Undeclared,Bundaberg Storms,2017-10-02,2017-10-02,QLD,"On 02 October severe storms impacted SEQ. Record rainfalls (for October) fell in the wide-bay burnett region. Several residents reported tornado activity. Damage reported included several roof's caravans, vehicles and atypical water ingress damage. This event was not declared a catastrophe. The insured loss estimate is a model based on the input of greater than 50% of market.",FNQ,storm,2017,7000000.0,9000000.0,30674.0,0,0,1,0,0,0,0,0
CAT173,Cyclone Debbie,2017-03-28,2017-04-10,"NSW, QLD","Cyclone Debbie struck the QLD coast in the vicinty of Bowen on Tuesday 28th march 2017, at midday. Damage assessment is underway.",FNQ,cyclone,2017,1774598765.0,2348300000.0,76841.0,1,0,1,0,0,0,0,0
Undeclared,Bowen Earthquake,2016-08-18,2016-08-18,QLD,"A 5.8 magnitude earthquake occured off the coast of Bowen QLD, followed by 22 aftershocks during the next 3 days. Very lite damage was reported to contents, no significant structual damage was reported. Precautionary shutdowns of airports and rail infrastructure were carried out. This event was not declared a catastrophe for insurance purposes. The insured loss estimate is based upon market reporting from approximately 50% of insurers within the claims footprint, modelled to estimate the industry loss estimate.",FNQ,earthquake,2016,2000000.0,2900000.0,30674.0,0,0,1,0,0,0,0,0
CAT162,East Coast Low,2016-06-03,2016-06-07,"NSW, QLD, VIC","On 3,4,5,6,7 June an intense east coast low formed in SEQ and moved south along the QLD and NSW, VIC coastlines, before then causing flooding throughout NW Tasmania. Significant low level damage was reported to private infrastructure, typical for storms, including trees down, overflowing gutters and localised flash flooding. Localised beach erosion also occured in parts of North Sydney. Considerable media attention was paid to commercial premises in both Picton (NSw) and parts of Tasmania, where a small number of commercial business owners had not purchased flood cover (1.2% of commercial policies). These claims were managed by insurers with assessments by hydrologists and where a claim was regrettably denied, through the dispute resolution process to the Ombudsman (dispute numbers pending). Estimated Value @ 18 August 2016, $421,696,229 (64% Domestic, 36% Commercial) Lodged Claims @ 18 August 2016, 46,363_x000D_
_x000D_
",SEQ,flooding,2016,421696229.0,680000000.0,46363.0,1,1,1,0,0,0,0,0
Undeclared,Cyclone TATIANA,2016-02-10,2016-02-14,QLD,Coral Sea event with no signifciant Australian landfall,FNQ,cyclone,2016,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT155,SEQ Extreme Weather,2015-04-30,2015-05-03,QLD,"An event involving extreme weather in South East Queensland between 30 April and 3 May 2015, and declared by the ICA on 4 May 2015._x000D_
Insured Loss Value, $351,102,112 (81% Domestic, 19% Commercial) _x000D_
Lodged Claims?, 24,533_x000D_
13,001 Residential Building Claims_x000D_
5,697 Contents Claims_x000D_
4,165 Domestic Motor Claims_x000D_
15 Domestic Other_x000D_
1,355 Commercial Property Claims_x000D_
284 Commercial Motor Claims_x000D_
10 Business Interruption Claims_x000D_
6 Commercial Other_x000D_
",SEQ,flooding,2015,351102112.0,613200000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Nathan,2015-03-20,2015-03-26,QLD,This event was not declared as a catastrophe event for insurance purposes as no damage was reported.,FNQ,cyclone,2015,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT152,Severe Tropical Cyclone Marcia,2015-02-20,2015-02-20,QLD,"Declared on the 20th of February 2015 following landfall of Severe Tropical Cyclone Marcia near Rockhampton in Queensland as a Category 5 Cyclone._x000D_
Insured Loss Value, $544,458 (77% Domestic, 23% Commercial) _x000D_
Lodged Claims?, 37,160_x000D_
20,631 Residential Building Claims_x000D_
11,319 Contents Claims_x000D_
1,523 Domestic Motor Claims_x000D_
68 Domestic Other_x000D_
3,184 Commercial Property Claims_x000D_
172 Commercial Motor Claims_x000D_
214 Business Interruption Claims_x000D_
49 Commercial Other",FNQ,cyclone,2015,544163458.0,807600000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Kate,2014-12-21,2014-12-30,QLD,"A Category 2 cyclone in the Coral Sea that did not make landfall. Cyclone Kate caused minor damage in Torres Strait communities, primarily from wave action and erosion. This event was not declared a catastrophe event for insurance purposes.",FNQ,cyclone,2014,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Bakung,2014-12-10,2014-12-14,QLD,A Category 2 cyclone in the Indian Ocean that did not make landfall. This event was not declared as a catastrophe event for insurance purposes.,FNQ,cyclone,2014,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT144,Brisbane Hailstorm,2014-11-27,2014-11-27,QLD,"CAT144 was declared by the ICA on the afternoon of 27 November 2014, after a supercell storm hit Brisbane with wind gusts of up to 144 km per hour, approximately 6000 lightning strikes and hail the size of tennis balls. The time of day (4pm) contributed to a large number of motor vehcile claims._x000D_
Insured Loss Value, $1,391,556,200 (69% Domestic, 31% Commercial) _x000D_
Lodged Claims?, 124,252_x000D_
22,527 Residential Building Claims_x000D_
7,250 Contents Claims_x000D_
81,571 Domestic Motor Claims_x000D_
44 Domestic Other_x000D_
6,128 Commercial Property Claims_x000D_
6,474 Commercial Motor Claims_x000D_
190 Business Interruption Claims_x000D_
68 Commercial Other",SEQ,hailstorm,2014,1391556200.0,2430500000.0,30674.0,0,0,1,0,0,0,0,0
CAT142,Cyclone Ita,2014-04-11,2014-04-11,QLD,"CAT 142 was declared by the ICA in Queensland following Tropical Cyclone Ita crossing the coast near Cape Flattery on 11 April 2014 as a category 4 storm, with wind gusts of up to 230 km per hour. Moderate damage occurred in Hopevale and surrounding communities.",FNQ,cyclone,2014,22458451.0,37300000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Gillian,2014-03-06,2014-03-26,"NT, QLD, WA","This event was not declared as a catastrophe event for insurance purposes. Much of Far North Queensland was affected by rain for over a week as Gillian slowly moved through the Gulf of Carpentaria. On 17 March, Gillian brushed the Top End region, bringing only minor rainfall to coastal areas. This was the first cyclone to affect Christmas Island since Cyclone Rosie in 2008, Gillian approached the island as a category 2 system, causing light to moderate damage. Only one structure on the island, the Immigration Detention Centre, is constructed to cyclone-standards on the island. Gale-force winds, peaking at 96 km/h, battered the island for 15 hours. Several homes lost their roof and one family had to be evacuated, most structures were left unscathed.",FNQ,cyclone,2014,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,1
Undeclared,Intense Monsoonal Low,2014-01-10,2014-01-23,QLD,This event was not declared as a catastrophe for insurance purposes.,FNQ,storm,2014,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT133,QLD Flooding Ex Cyclone Oswald,2013-01-20,2013-01-29,QLD,"Although a relatively weak storm, Oswald produced torrential rains over much of Queensland. Rainfall peaked in Tully where approximately 1,000 mm (39 in) of rain fell, with 632 mm (24.9 in) falling over a 48 hour span. The township of Scherger received a record-breaking 370 mm (15 in) in just 24 hours. These rains caused widespread flooding in the state that shut down many roads and isolated communities. The town of Ingham was completely cut off due to high waters. Residents in the town were advised to stock up on emergency supplies as the Herbert River rose rapidly after 200 mm (7.9 in) of rain fell in the town in just three hours. In Cairns, winds up to 90 km/h (56 mph) left many homes without power and waves up to 4 m (13 ft) prompted the cancellation of most coastal activities. Additionally, a brief tornado or waterspout with winds of 140 km/h (87 mph) touched down near Hay Point. Flooding caused by Oswald has killed at least 6 people in Australia, making it the deadliest cyclone to hit the Australian mainland since Cyclone Rona-Frank in February 1999. Flooding and storm activity resulting from Ex TC Oswald. This caused servere flooding in the Bundaberg and North Burnett areas._x000D_
Insured Loss Value, $987,000,000 (72% Domestic, 28% Commercial) _x000D_
Lodged Claims?, 89,518_x000D_
51,039 Residential Building Claims_x000D_
22,706 Contents Claims_x000D_
3,561 Domestic Motor Claims_x000D_
112 Domestic Other_x000D_
11,821 Commercial Property Claims_x000D_
66 Commercial Motor Claims_x000D_
105 Business Interruption Claims_x000D_
108 Commercial Other",FNQ,cyclone,2013,987000000.0,1581300000.0,30674.0,0,0,1,0,0,0,0,0
CAT121,South West QLD Flood Event,2012-02-18,2012-02-20,QLD,SWQ region flooding.,SWQ,flooding,2012,128000000.0,186500000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Jasmine,2012-02-01,2012-02-16,QLD,"Early in its existence, Jasmine produced numerous rain showers over northern areas of Queensland. Gusty winds in Weipa, Queensland from Jasmine damaged trees on 2 February. A strong rainband associated with the cyclone produced heavy rainfalls over southern parts of Queensland. In Cairns, Queensland, several roads were closed due to severe weather associated with the cyclone, and trees were uprooted by strong winds. Power lines in the northern suburbs of Cairns were also damaged due to strong winds. Other areas of Queensland recorded rain totals in excess of 100 mm.  This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,2012,3400000.0,5200000.0,30674.0,0,0,1,0,0,0,0,0
CAT114,Cylone Yasi,2011-01-26,2011-02-06,QLD,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 km south of Cairns) between midnight and 1 am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10 pm on 3 February. In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends. Flights out of the region were fully booked. The hospital's 300 patients were evacuated to Brisbane and other regional hospitals by the the Australian Defence Force, Royal Flying Doctor Service and other means of transportation.  This was an unprecedented evacuation effort. The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 km per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone’s worst impact missed the major centres of Townsville and Cairns. Overall, approximately 1000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars found metres away from where they were left and boats piled on top of each other in some regions. Rainfall totals for the 24 hour period to 9 am Thursday 3 February were 200-300 mm in the area between Cairns and Ayr, causing some flooding. A 5 m tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville. The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million loss to agricultural production in Queensland, particularly the banana and sugarcane sector. The Federal Government processed more than $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000. There was one recorded death.",FNQ,cyclone,2011,1412239000.0,2100700000.0,30674.0,0,0,1,0,0,0,0,0
CAT112A,Brisbane Flooding,2011-01-11,2011-01-14,QLD,"Riverine flooding from the Brisbane and Bremmer rivers impacting on the Brisbane LGA. approximately 5,500 residential properties were innundated, along with commercial and industrial parks.",SEQ,flooding,2011,1356000000.0,2450400000.0,30674.0,0,0,1,0,0,0,0,0
CAT112B,Brisbane Flooding,2011-01-10,2011-01-10,QLD,Devastating flooding throught the Lockyer Valley that resulted in multiple deaths.,SEQ,flooding,2011,283000000.0,453900000.0,30674.0,0,0,1,0,0,0,0,0
CAT104,Cyclone TASHA,2010-12-24,2010-12-25,QLD,"Flooding associated with Ex-Cyclone Tasha caused extensive riverine flooding throughout central, southern and south western QLD",SWQ,cyclone,2010,383000000.0,626800000.0,30674.0,0,0,1,0,0,0,0,0
CAT101,West QLD flooding,2010-02-28,2010-02-28,QLD,"In the last week of February through to the first week of March 2010, Queensland, Central Australia and Northern New South Wales experienced unprecedented rainfall and serious flooding in several regions. Queensland recorded the highest state wide average rainfall on 2 March, with 31.74 mm._x000D_
 As a result the heavy deluge brought about widespread flooding to numerous rivers including Paroo, Moonie, Balonne, Dawson, Theodore, Moura, Maranoa, Warrego, Diamantina, Bulloo, Condamine, Weir, Mary, Burnett, and Comet. This had devastating impact on infrastructure including roads, railways and bridges, as well as agriculture and horticulture industries including farms, crops and livestock.",SEQ,flooding,2010,46700000.0,71900000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone OLGA,2010-01-21,2010-01-30,QLD,"A category 2 storm in the Coral Sea that was downgraded to a persistent tropical low at landfall. No significant damage was reported from this event apart from riverine flooding in some North Queensland catchments. This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,2010,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone NEVILLE,2010-01-19,2010-01-21,QLD,"A short lived Category 1 storm in the Coral Sea that was downgraded severl hours later to a tropical low. This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,2010,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT095,East Coast Low,2009-05-20,2009-05-20,QLD,"On 20 May 2009, an east coast low formed off the south-east Queensland coast. In combination with a strong high pressure system in the southern Tasman Sea, gale to storm force east to south-east winds affected the northern New South Wales coast. Winds of up to 130 km/h were recorded at Byron Bay. Consequently, heavy rain occurred over a large part of the north-east region during the period 19 - 23 May, with additional heavy falls on 20 – 21 May. This was the third major flood to occur in the Mid North Coast this year, compounding damage previously caused during the February and April floods._x000D_
 As a result, 240 schools were closed across the region, the Tweed area was affected by a lightning strike that disabled powerlines to the north and south of the region (12,000 homes and businesses), and the Macleay River levee at Kempsey broke its banks inundating the township . Moreover,, 16,000 people on the far north coast were without power overnight and up to 35,000 people were isolated by floodwaters... One fatality occurred when a person attempted to cross a flooded creek in Coffs Harbor.",SEQ,east coast low,2009,48000000.0,95600000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone JASPER,2009-03-23,2009-03-24,QLD,A Coral Sea event with no significant Australian landfall.,FNQ,cyclone,2009,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone HAMISH,2009-03-04,2009-03-14,QLD,"A Category 5 Coral Sea event with no Australian landfall, passing close to the QLD coast impacting areas around Mackay. This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,2009,12500000.0,24900000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone ELLIE,2009-02-01,2009-02-01,QLD,"A Coral Sea storm event with limited immediate impact on Queensland, however the residual tropical low was persistent in North Queensland giving rise to widespread flooding. See CAT091 ICA Ref 200905.",FNQ,cyclone,2009,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT091,Floods,2009-01-31,2009-02-07,QLD,Flooding Ex-Cyclone Ellie,FNQ,flooding,2009,19000000.0,36900000.0,30674.0,0,0,1,0,0,0,0,0
CAT086,Queensland Storms (CAT086),2008-11-16,2008-11-22,QLD,"Between 16 and 22 November 2008, heavy rains and subsequent flooding affected the Brisbane region and surrounding areas.  The system affected multiple towns including Ipswich, Lockyer Valley, Bundamba, Tallagalla, Forest Hill and Ebbw Vale. he Insurance Council of Australia estimated the 2008 damage at $309 million, with the 2011 estimated normalised cost of $355 million.",SEQ,storm,2008,309000000.0,618200000.0,30674.0,0,0,1,0,0,0,0,0
CAT083,Mackay Flood,2008-02-10,2008-02-18,QLD,"During the period 10 - 18 February 2008, a number of severe weather fronts permeated numerous areas including the western, far north, central and south-east regions of Queensland. Towns seriously affected by the weather included Townsville, Bundaberg, Mackay, Rockhampton, Airlie Beach, Proserpine, Cooktown, Cairns and Ingham. Heavy rainfall and subsequent flooding resulted in widespread damage across the state of Queensland. There was notable damage to state infrastructure as well as other damage relating to buildings and houses. At Mackay 4000 houses were inundated from flood water and some stations reported 600mm of rain in 6 hours.  Agriculture and horticulture based industries also sustained heavy losses.",FNQ,flooding,2008,410000000.0,824100000.0,30674.0,0,0,1,0,0,0,0,0
CAT081,South West Queensland Floods,2008-01-20,2008-01-21,QLD,"During January 2008 atropical low caused state-wide monsoonal rainfall that resulted in widespread flooding throughout Queensland. The Minister for Emergency Services declared 55 local Government areas impacted by the flooding eligible for assistance under the Natural Disaster Relief and Recovery Arrangements (NDRRA). State Emergency Service volunteers responded to more than 1000 calls for assistance as a result of the flooding._x000D_
 The January floods of 2008 caused extensive damage over Queensland. Infrastructure including roads and railways were badly disrupted. Numerous houses were inundated by flood waters and a number of people were evacuated in the Emerald region.",SWQ,flooding,2008,70000000.0,156200000.0,30674.0,0,0,1,0,0,0,0,0
